Timestamp,AccX,AccY,AccZ
2020/01/03 00:00:02,3624,-567,17452
2020/01/03 00:00:03,-649,-688,16899
2020/01/03 00:00:04,-21,-66,14555
2020/01/03 00:00:05,-1207,923,12459
2020/01/03 00:00:06,208,-16,14951
2020/01/03 00:00:07,-192,332,14508
2020/01/03 00:00:08,-945,-225,18011
2020/01/03 00:00:09,-1433,-647,18147
2020/01/03 00:00:10,-635,39,18702
2020/01/03 00:00:11,4582,298,12481
2020/01/03 00:00:12,280,-1464,17748
2020/01/03 00:00:13,2716,704,12244
2020/01/03 00:00:14,-644,66,20296
2020/01/03 00:00:15,-308,-482,12247
2020/01/03 00:00:16,1370,76,13488
2020/01/03 00:00:17,1984,581,13182
2020/01/03 00:00:18,276,-446,17932
2020/01/03 00:00:19,-1076,-364,16387
2020/01/03 00:00:20,400,-1692,19120
2020/01/03 00:00:21,25,-1305,15899
2020/01/03 00:00:22,179,-153,18603
2020/01/03 00:00:23,-1944,-590,15702
2020/01/03 00:00:24,1729,-301,17689
2020/01/03 00:00:25,1810,288,16532
2020/01/03 00:00:26,2116,-342,14411
2020/01/03 00:00:27,1194,-438,12819
2020/01/03 00:00:28,179,67,13851
2020/01/03 00:00:29,-1696,-476,14871
2020/01/03 00:00:30,-170,51,16015
2020/01/03 00:00:31,2438,-116,10136
2020/01/03 00:00:32,465,-321,15286
2020/01/03 00:00:33,843,383,13460
2020/01/03 00:00:34,-1983,-401,20115
2020/01/03 00:00:35,1346,-434,15655
2020/01/03 00:00:36,2989,-279,15463
2020/01/03 00:00:37,2679,111,16623
2020/01/03 00:00:38,1421,-375,21668
2020/01/03 00:00:39,120,36,13288
2020/01/03 00:00:40,-92,-4,16497
2020/01/03 00:00:41,-1619,57,10146
2020/01/03 00:00:42,1892,-158,18020
2020/01/03 00:00:43,-2486,-760,18091
2020/01/03 00:00:44,-2664,-2126,18245
2020/01/03 00:00:45,-903,-1391,16308
2020/01/03 00:00:46,365,-838,19550
2020/01/03 00:00:47,1597,-305,16528
2020/01/03 00:00:48,2542,54,17639
2020/01/03 00:00:49,-893,-387,18476
2020/01/03 00:00:50,1548,-676,14798
2020/01/03 00:00:51,4116,-76,9418
2020/01/03 00:00:52,326,198,16380
2020/01/03 00:00:53,737,353,11660
2020/01/03 00:00:54,-1201,45,16904
2020/01/03 00:00:55,583,117,14164
2020/01/03 00:00:56,-1973,51,16085
2020/01/03 00:00:57,2677,-13,14528
2020/01/03 00:00:58,-316,-392,17895
2020/01/03 00:00:59,-1969,-301,16335
2020/01/03 00:01:00,560,-330,18212
2020/01/03 00:01:01,3042,332,14969
2020/01/03 00:01:02,1241,57,15911
2020/01/03 00:01:03,-558,-762,14131
2020/01/03 00:01:04,-53,-109,18491
2020/01/03 00:01:05,-247,527,17060
2020/01/03 00:01:06,1958,20,16360
2020/01/03 00:01:07,-2981,39,18839
2020/01/03 00:01:08,-859,-1185,15331
2020/01/03 00:01:09,-3215,-1847,18695
2020/01/03 00:01:10,-472,-588,19179
2020/01/03 00:01:11,1497,-295,15284
2020/01/03 00:01:12,1112,-478,16843
2020/01/03 00:01:13,1473,-310,16159
2020/01/03 00:01:14,1003,-1535,17420
2020/01/03 00:01:15,849,-468,13768
2020/01/03 00:01:16,518,26,16652
2020/01/03 00:01:17,3637,397,10587
2020/01/03 00:01:18,-2935,193,18440
2020/01/03 00:01:19,-272,254,15694
2020/01/03 00:01:20,-2361,-567,18679
2020/01/03 00:01:21,525,-27,15556
2020/01/03 00:01:22,597,-47,19642
2020/01/03 00:01:23,-711,41,18260
2020/01/03 00:01:24,-1221,-493,18943
2020/01/03 00:01:25,-834,-160,14311
2020/01/03 00:01:26,4976,194,18271
2020/01/03 00:01:27,1487,523,15320
2020/01/03 00:01:28,2235,860,17111
2020/01/03 00:01:29,743,-482,16033
2020/01/03 00:01:30,-602,-169,16924
2020/01/03 00:01:31,-1943,-195,10575
2020/01/03 00:01:32,759,-1281,14484
2020/01/03 00:01:33,-2853,-511,19087
2020/01/03 00:01:34,-1174,-1124,18947
2020/01/03 00:01:35,803,-393,16279
2020/01/03 00:01:36,2344,-502,17404
2020/01/03 00:01:37,2820,138,13263
2020/01/03 00:01:38,-723,-573,18056
2020/01/03 00:01:39,1852,519,13102
2020/01/03 00:01:40,1269,-99,15707
2020/01/03 00:01:41,1565,-317,9968
2020/01/03 00:01:42,-1729,-227,14164
2020/01/03 00:01:43,-462,404,12487
2020/01/03 00:01:44,-3376,-970,17651
2020/01/03 00:01:45,-604,932,16344
2020/01/03 00:01:46,574,1124,15909
2020/01/03 00:01:47,568,-42,15992
2020/01/03 00:01:48,1372,-634,18308
2020/01/03 00:01:49,-274,-30,17003
2020/01/03 00:01:50,2633,297,14619
2020/01/03 00:01:51,4064,206,12091
2020/01/03 00:01:52,2061,677,18351
2020/01/03 00:01:53,-1063,-139,17630
2020/01/03 00:01:54,-732,-160,16156
2020/01/03 00:01:55,-2172,-740,13198
2020/01/03 00:01:56,-7,-1349,14632
2020/01/03 00:01:57,547,-1103,15875
2020/01/03 00:01:58,-2393,-825,23715
2020/01/03 00:01:59,-1196,8,15763
2020/01/03 00:02:00,-180,-646,20924
2020/01/03 00:02:01,3362,354,13590
2020/01/03 00:02:02,1553,-645,17613
2020/01/03 00:02:03,2737,-351,12815
2020/01/03 00:02:04,-854,-10,18371
2020/01/03 00:02:05,832,242,10012
2020/01/03 00:02:06,3411,-247,11781
2020/01/03 00:02:07,1217,185,12461
2020/01/03 00:02:08,680,227,18252
2020/01/03 00:02:09,-1564,172,13693
2020/01/03 00:02:10,1134,229,13791
2020/01/03 00:02:11,1156,-132,16979
2020/01/03 00:02:12,556,-630,15879
2020/01/03 00:02:13,-1363,-491,17968
2020/01/03 00:02:14,1520,162,19660
2020/01/03 00:02:15,2659,-439,17290
2020/01/03 00:02:16,2573,901,15027
2020/01/03 00:02:17,293,471,14047
2020/01/03 00:02:18,-1382,-858,17943
2020/01/03 00:02:19,-1002,-790,16796
2020/01/03 00:02:20,-1525,-1465,19388
2020/01/03 00:02:21,514,-947,11560
2020/01/03 00:02:22,-701,-679,18443
2020/01/03 00:02:23,744,-282,16164
2020/01/03 00:02:24,-2651,-815,21035
2020/01/03 00:02:25,2976,86,14647
2020/01/03 00:02:26,3610,-802,16080
2020/01/03 00:02:27,1287,-73,15124
2020/01/03 00:02:28,1406,378,17563
2020/01/03 00:02:29,886,592,12291
2020/01/03 00:02:30,994,64,15114
2020/01/03 00:02:31,158,-258,12928
2020/01/03 00:02:32,1354,276,18349
2020/01/03 00:02:33,-2490,68,14793
2020/01/03 00:02:34,-787,287,15380
2020/01/03 00:02:35,-1687,-844,17620
2020/01/03 00:02:36,858,-574,15083
2020/01/03 00:02:37,2225,60,16755
2020/01/03 00:02:38,658,-483,20018
2020/01/03 00:02:39,-236,184,16392
2020/01/03 00:02:40,894,740,14916
2020/01/03 00:02:41,3316,170,11424
2020/01/03 00:02:42,-955,-367,18640
2020/01/03 00:02:43,-262,-384,15064
2020/01/03 00:02:44,-3092,-1296,14875
2020/01/03 00:02:45,-632,-328,8480
2020/01/03 00:02:46,-3276,-204,18963
2020/01/03 00:02:47,281,-595,12040
2020/01/03 00:02:48,-641,-1403,18027
2020/01/03 00:02:49,404,-593,15048
2020/01/03 00:02:50,688,-895,17436
2020/01/03 00:02:51,2383,-14,15328
2020/01/03 00:02:52,974,449,16619
2020/01/03 00:02:53,-627,-279,14927
2020/01/03 00:02:54,2180,204,17376
2020/01/03 00:02:55,283,51,13420
2020/01/03 00:02:56,1392,-124,14496
2020/01/03 00:02:57,-2014,680,16998
2020/01/03 00:02:58,-2085,453,18673
2020/01/03 00:02:59,-2023,-315,16599
2020/01/03 00:03:00,712,-732,17659
2020/01/03 00:03:01,349,-595,16814
2020/01/03 00:03:02,94,-466,19804
2020/01/03 00:03:03,1906,140,15992
2020/01/03 00:03:04,-490,682,20691
2020/01/03 00:03:05,3307,-205,11679
2020/01/03 00:03:06,1724,-612,16652
2020/01/03 00:03:07,2392,-72,15247
2020/01/03 00:03:08,-2495,-1773,19596
2020/01/03 00:03:09,-1496,-838,15268
2020/01/03 00:03:10,-2181,453,18762
2020/01/03 00:03:11,1067,975,11870
2020/01/03 00:03:12,2307,-527,19868
2020/01/03 00:03:13,-1958,-442,19004
2020/01/03 00:03:14,-217,-857,17108
2020/01/03 00:03:15,568,-513,13056
2020/01/03 00:03:16,3148,223,18469
2020/01/03 00:03:17,-404,180,16396
2020/01/03 00:03:18,1973,-322,15188
2020/01/03 00:03:19,173,-433,12495
2020/01/03 00:03:20,1247,-273,12783
2020/01/03 00:03:21,700,670,14069
2020/01/03 00:03:22,-1179,1009,17739
2020/01/03 00:03:23,-640,-88,18380
2020/01/03 00:03:24,-1912,-1200,19891
2020/01/03 00:03:25,1924,-88,15155
2020/01/03 00:03:26,2632,408,16008
2020/01/03 00:03:27,1106,776,17060
2020/01/03 00:03:28,-1332,57,22275
2020/01/03 00:03:29,1549,64,15500
2020/01/03 00:03:30,42,-1080,18087
2020/01/03 00:03:31,3825,-993,9555
2020/01/03 00:03:32,-3622,-1268,17435
