Timestamp,AccX,AccY,AccZ
2020/1/3 0:00,3624,-567,17452
2020/1/3 0:00,-649,-688,16899
2020/1/3 0:00,-21,-66,14555
2020/1/3 0:00,-1207,923,12459
2020/1/3 0:00,208,-16,14951
2020/1/3 0:00,-192,332,14508
2020/1/3 0:00,-945,-225,18011
2020/1/3 0:00,-1433,-647,18147
2020/1/3 0:00,-635,39,18702
2020/1/3 0:00,4582,298,12481
2020/1/3 0:00,280,-1464,17748
2020/1/3 0:00,2716,704,12244
2020/1/3 0:00,-644,66,20296
2020/1/3 0:00,-308,-482,12247
2020/1/3 0:00,1370,76,13488
2020/1/3 0:00,1984,581,13182
2020/1/3 0:00,276,-446,17932
2020/1/3 0:00,-1076,-364,16387
2020/1/3 0:00,400,-1692,19120
2020/1/3 0:00,25,-1305,15899
2020/1/3 0:00,179,-153,18603
2020/1/3 0:00,-1944,-590,15702
2020/1/3 0:00,1729,-301,17689
2020/1/3 0:00,1810,288,16532
2020/1/3 0:00,2116,-342,14411
2020/1/3 0:00,1194,-438,12819
2020/1/3 0:00,179,67,13851
2020/1/3 0:00,-1696,-476,14871
2020/1/3 0:00,-170,51,16015
2020/1/3 0:00,2438,-116,10136
2020/1/3 0:00,465,-321,15286
2020/1/3 0:00,843,383,13460
2020/1/3 0:00,-1983,-401,20115
2020/1/3 0:00,1346,-434,15655
2020/1/3 0:00,2989,-279,15463
2020/1/3 0:00,2679,111,16623
2020/1/3 0:00,1421,-375,21668
2020/1/3 0:00,120,36,13288
2020/1/3 0:00,-92,-4,16497
2020/1/3 0:00,-1619,57,10146
2020/1/3 0:00,1892,-158,18020
2020/1/3 0:00,-2486,-760,18091
2020/1/3 0:00,-2664,-2126,18245
2020/1/3 0:00,-903,-1391,16308
2020/1/3 0:00,365,-838,19550
2020/1/3 0:00,1597,-305,16528
2020/1/3 0:00,2542,54,17639
2020/1/3 0:00,-893,-387,18476
2020/1/3 0:00,1548,-676,14798
2020/1/3 0:00,4116,-76,9418
2020/1/3 0:00,326,198,16380
2020/1/3 0:00,737,353,11660
2020/1/3 0:00,-1201,45,16904
2020/1/3 0:00,583,117,14164
2020/1/3 0:00,-1973,51,16085
2020/1/3 0:00,2677,-13,14528
2020/1/3 0:00,-316,-392,17895
2020/1/3 0:00,-1969,-301,16335
2020/1/3 0:01,560,-330,18212
2020/1/3 0:01,3042,332,14969
2020/1/3 0:01,1241,57,15911
2020/1/3 0:01,-558,-762,14131
2020/1/3 0:01,-53,-109,18491
2020/1/3 0:01,-247,527,17060
2020/1/3 0:01,1958,20,16360
2020/1/3 0:01,-2981,39,18839
2020/1/3 0:01,-859,-1185,15331
2020/1/3 0:01,-3215,-1847,18695
2020/1/3 0:01,-472,-588,19179
2020/1/3 0:01,1497,-295,15284
2020/1/3 0:01,1112,-478,16843
2020/1/3 0:01,1473,-310,16159
2020/1/3 0:01,1003,-1535,17420
2020/1/3 0:01,849,-468,13768
2020/1/3 0:01,518,26,16652
2020/1/3 0:01,3637,397,10587
2020/1/3 0:01,-2935,193,18440
2020/1/3 0:01,-272,254,15694
2020/1/3 0:01,-2361,-567,18679
2020/1/3 0:01,525,-27,15556
2020/1/3 0:01,597,-47,19642
2020/1/3 0:01,-711,41,18260
2020/1/3 0:01,-1221,-493,18943
2020/1/3 0:01,-834,-160,14311
2020/1/3 0:01,4976,194,18271
2020/1/3 0:01,1487,523,15320
2020/1/3 0:01,2235,860,17111
2020/1/3 0:01,743,-482,16033
2020/1/3 0:01,-602,-169,16924
2020/1/3 0:01,-1943,-195,10575
2020/1/3 0:01,759,-1281,14484
2020/1/3 0:01,-2853,-511,19087
2020/1/3 0:01,-1174,-1124,18947
2020/1/3 0:01,803,-393,16279
2020/1/3 0:01,2344,-502,17404
2020/1/3 0:01,2820,138,13263
2020/1/3 0:01,-723,-573,18056
2020/1/3 0:01,1852,519,13102
2020/1/3 0:01,1269,-99,15707
2020/1/3 0:01,1565,-317,9968
2020/1/3 0:01,-1729,-227,14164
2020/1/3 0:01,-462,404,12487
2020/1/3 0:01,-3376,-970,17651
2020/1/3 0:01,-604,932,16344
2020/1/3 0:01,574,1124,15909
2020/1/3 0:01,568,-42,15992
2020/1/3 0:01,1372,-634,18308
2020/1/3 0:01,-274,-30,17003
2020/1/3 0:01,2633,297,14619
2020/1/3 0:01,4064,206,12091
2020/1/3 0:01,2061,677,18351
2020/1/3 0:01,-1063,-139,17630
2020/1/3 0:01,-732,-160,16156
2020/1/3 0:01,-2172,-740,13198
2020/1/3 0:01,-7,-1349,14632
2020/1/3 0:01,547,-1103,15875
2020/1/3 0:01,-2393,-825,23715
2020/1/3 0:01,-1196,8,15763
